frame,droplet_count,ligament_count,main_ligament_count,uncertain_count,main_region_area,total_detected_area,avg_droplet_diameter,avg_ligament_aspect_ratio,avg_ligament_length
0,0,0,0,0,0,0,0.0,0.0,0.0
1,57,7,0,4,0,3089.5,6.055837562179776,1.8260728609022048,10.571428571428571
2,57,5,1,5,21239.5,26193.5,6.1941607306694175,1.7709596535004377,10.2
3,54,7,2,5,24377.5,29159.5,5.759699433491574,1.8128020210238645,10.142857142857142
4,59,6,1,1,22119.5,26538.0,5.798775473062863,1.8464863338751245,13.0
5,58,5,1,2,22015.0,26337.5,6.040833172197767,2.2939495538197545,12.4
6,57,6,1,3,19486.0,25137.0,6.035992742375197,2.226455700596122,18.166666666666668
7,59,6,1,4,20908.5,27133.5,5.841078396445906,2.306936273490287,21.833333333333332
8,55,11,1,3,20428.5,26839.0,6.016368659758853,2.1595643099425295,18.181818181818183
9,51,7,2,5,16712.5,23082.0,6.4140375961752785,2.3166089089376554,18.0
10,52,6,2,4,20814.5,27151.5,6.220913713897848,2.2061241713506403,19.333333333333332
11,51,8,1,4,20960.5,27302.0,6.166167575111795,2.2039788379572727,15.875
12,49,8,1,4,22758.5,27762.5,6.376511901425639,2.241416258690267,12.5
13,53,7,1,5,22293.0,27000.0,6.160842607113634,2.0359351245283546,13.285714285714286
14,49,8,1,9,23266.0,28032.0,6.08983687233353,2.84966034928791,20.5
15,53,6,1,8,18963.5,23822.5,5.8746016462352415,2.3496914109311153,18.5
16,52,7,1,3,23170.5,28015.0,6.314154035836081,2.1626052846992887,21.714285714285715
17,55,8,1,2,23665.5,28556.5,6.179663805177822,2.3600358482160666,22.125
18,57,8,1,3,24912.5,29418.5,5.974833631928718,2.2764869738074434,14.5
19,56,6,1,3,24804.0,29352.0,6.146334192347405,2.66957641544007,12.5
20,49,4,1,6,19594.5,23885.0,6.083481714410789,2.859649166725275,15.75
21,47,4,1,6,25912.0,30291.5,6.525620472740464,2.657182069593717,17.0
22,47,8,1,6,26653.5,30633.5,6.555572722631478,3.113954034552252,15.5
23,53,11,1,3,19261.0,23605.0,6.163162879473713,2.0626221117938437,13.272727272727273
24,49,12,1,2,19400.5,24376.5,6.331383555512286,2.173117057660058,20.5
25,51,10,1,4,19568.0,24821.0,6.26653695271666,2.5253689535883623,24.7
26,46,5,1,8,19416.5,24175.0,6.815801231408155,2.6068507187975354,24.8
27,50,11,1,5,19283.0,24092.0,6.085246517822487,2.5632055554116606,18.0
28,54,8,1,5,20002.0,23847.5,6.153403610757786,2.3714133596311338,10.625
29,58,11,1,5,18825.5,23687.0,5.9662831241738985,2.10809372551084,18.0
30,51,10,1,8,19263.0,24328.0,6.547957635737304,2.1139247754149895,20.9
31,53,11,1,7,18755.5,24059.5,6.135915812702407,2.088327309865896,21.90909090909091
32,52,10,0,6,0,5213.5,6.076292361714968,2.394062717232941,22.6
33,53,11,1,8,19238.0,24512.5,5.927332181828131,2.3574044893799972,22.818181818181817
34,58,7,1,3,19281.5,24608.5,6.134093243937339,2.2526949177844147,29.142857142857142
35,53,11,1,5,19904.5,25239.5,6.353923135179378,2.359910360444265,24.636363636363637
36,53,13,1,3,16919.0,24586.0,6.150743864438264,2.116338550170463,37.23076923076923
37,58,14,1,4,18170.0,23475.0,5.87869875293142,1.9446427408517024,18.357142857142858
38,58,15,1,8,19284.0,24730.0,5.633147019146893,1.9879750186602387,14.733333333333333
39,60,12,1,6,19767.0,24941.0,5.593798551138278,2.3239804034406064,13.916666666666666
40,55,13,1,7,19974.5,24890.5,5.995943344271677,2.2234712468969082,15.615384615384615
41,60,14,1,7,19968.5,24947.0,5.867530827886085,2.633210876283131,13.642857142857142
42,56,15,1,10,19365.5,24444.5,5.964049387988069,2.105451279401303,12.466666666666667
43,56,11,1,8,17432.0,22619.5,6.523496186020503,2.2778222293915924,15.0
44,59,15,1,5,18146.0,25428.0,6.14878598242472,2.108095071701221,25.666666666666668
45,61,16,1,7,18301.0,25798.0,6.340892799333185,2.5142808513782646,26.375
46,67,13,1,7,17549.5,24610.5,6.184513739645743,2.454670720497494,23.923076923076923
47,64,7,1,11,18998.0,25939.0,6.373296014009234,2.1632515212658667,39.714285714285715
48,70,9,1,9,19235.5,26266.5,5.978070743614706,2.1010708813163,16.77777777777778
49,70,8,1,8,17761.5,25609.5,6.2431243559619345,2.554659849952111,30.5
50,68,15,1,6,17607.5,25971.5,6.1721635724042905,2.3012445074880072,28.733333333333334
51,66,16,1,7,17966.5,25561.5,6.306092078098579,2.2669195221506784,23.125
52,71,15,1,11,18197.0,26339.5,6.160775894810698,2.5287116653233896,23.0
53,67,15,1,10,17358.5,25135.5,6.365973222147159,2.9091896257796637,19.8
54,64,17,1,11,18732.5,26456.5,6.28380472616114,2.26651390424965,17.470588235294116
55,73,17,1,11,18442.0,26336.0,6.0599920186229275,2.4311327423251687,19.0
56,71,17,1,8,17407.0,25137.5,6.045762124627327,2.006497565564894,19.470588235294116
57,68,19,1,9,18705.0,26639.0,6.016987092624867,2.1909353818173827,18.105263157894736
58,73,20,1,5,18926.0,26935.0,6.008716605374434,2.2952434660866223,21.2
59,78,18,1,4,18817.0,27035.0,5.831691575905695,2.517291139642765,27.055555555555557
60,76,17,1,7,19060.0,27142.5,5.895877982426296,2.265792003049613,26.11764705882353
61,81,13,1,8,18873.0,27156.0,6.094231523109748,2.4817389372942054,28.153846153846153
62,69,15,1,9,15547.0,24995.5,6.154610974801323,2.193001600296597,29.933333333333334
63,70,17,1,10,16846.5,26201.0,5.936812310761007,2.2009088424913146,27.41176470588235
64,69,17,1,9,16753.5,26355.5,6.287794626315263,2.2784909701078386,25.58823529411765
65,68,17,1,8,16649.0,26096.0,6.416967046141474,2.08236264688186,26.470588235294116
66,67,17,1,10,18096.0,27207.5,6.421594096386497,2.1137917012998875,26.941176470588236
67,68,15,1,12,17030.5,26470.0,6.635055075105845,2.223519835651656,28.6
68,75,19,1,5,18385.5,26500.0,6.053742858648279,2.479977478003675,23.789473684210527
69,74,17,1,6,17241.0,25825.5,6.597921512619994,2.5418876472921323,28.294117647058822
70,74,14,1,7,17385.5,25597.0,6.44502503507306,2.179695616209327,26.428571428571427
71,70,13,1,9,17665.5,27018.0,6.680866983954046,2.3040587545360136,34.61538461538461
72,73,15,1,5,17409.5,26121.0,6.656738103498341,2.262540128798155,29.333333333333332
73,74,15,1,4,17383.5,26026.5,6.34769705157665,2.115475009062332,32.666666666666664
74,69,13,1,7,18653.0,25342.0,6.233097277841457,2.0771678550271826,19.076923076923077
75,70,15,1,6,18127.5,25521.0,6.3691413924838205,2.1920891522829846,23.4
76,76,15,1,6,17604.0,24780.0,6.213058596265791,2.4093648412621658,19.866666666666667
77,68,15,1,6,19026.0,25768.5,6.585470024659228,2.186469183057647,17.733333333333334
78,71,15,1,9,19229.0,26333.5,6.381702378414375,2.3340845319073624,19.333333333333332
79,72,13,1,11,21550.0,28684.5,6.49347340991203,2.095958658800015,24.076923076923077
80,75,11,1,10,22206.0,29392.5,6.3888466151110785,2.2257041380976355,20.454545454545453
81,65,13,1,8,19416.0,26293.0,6.628079000617143,2.058875229249416,18.384615384615383
82,60,13,1,10,22078.0,28843.5,6.6616452748544015,2.0684042141342482,17.846153846153847
83,59,15,1,7,19828.0,26491.5,6.634013984538253,2.123746873018749,20.6
84,62,13,1,9,20288.0,26111.0,6.253480651952528,2.1018955639012176,17.153846153846153
85,65,11,1,6,21795.0,28051.5,6.1903003581690434,1.9808713851181217,34.0
86,65,12,1,5,19449.0,25910.0,6.287209540601843,2.224568897839659,18.833333333333332
87,63,12,1,5,22602.0,27697.0,6.477213433750033,2.0463400991998846,16.5
88,68,9,1,7,22387.5,28672.0,6.408290214611075,2.252432032113975,18.333333333333332
89,63,11,1,9,21635.0,27774.5,6.195649553260947,2.2269620147381546,16.363636363636363
90,61,13,0,5,0,7023.5,6.649283296152961,2.550227627533972,25.76923076923077
91,63,14,1,2,19579.0,26550.0,6.277995683517312,2.5295965303294485,33.57142857142857
92,65,16,1,4,20773.0,28047.5,6.153744446768056,2.402121904833458,31.0625
93,59,18,1,4,19328.5,28093.0,6.443356691599563,2.409337257706023,34.333333333333336
94,61,16,2,4,20331.5,27977.5,6.407236225713724,2.389732193078211,30.6875
95,57,16,1,5,20279.5,27795.5,6.403476984784882,2.287206822392327,29.25
96,61,13,1,3,20363.0,27183.5,6.7600349139808555,2.412940994606603,28.615384615384617
97,62,16,1,3,16916.5,24365.5,6.336329304777739,1.991926795627656,27.125
98,61,11,1,6,12479.0,23819.5,6.726811683780033,2.3853674930616413,54.54545454545455
99,58,10,1,5,18352.5,27262.5,6.818244188611152,2.239745269527227,35.5
100,55,10,1,4,18707.5,27158.0,7.144395868864323,1.8672026047512362,27.5
101,55,10,1,7,13161.0,23773.5,7.259266665304808,2.3605379240611852,34.3
102,54,10,1,7,9763.0,20384.5,6.8050684005152755,2.4445071733371133,70.5
103,48,9,1,11,16112.5,26594.0,7.254086289184213,1.9835674192234478,66.0
104,49,11,1,8,15981.5,28060.5,7.378331409694052,2.0524361652163114,74.0
105,56,8,0,4,0,5988.0,7.183532049447539,2.052758329462715,29.5
106,59,7,1,4,18582.0,24574.0,6.876268133993592,2.670064918729611,32.0
107,57,7,1,4,18438.0,24336.5,6.746106377448018,2.137014020194423,33.42857142857143
108,57,8,1,4,22505.5,28012.0,6.612477136862911,1.9591708107443924,24.875
109,66,7,1,3,17900.0,24440.0,6.606245625241278,2.2511223429363607,45.42857142857143
110,65,8,1,2,22082.5,28340.5,6.696789376483304,2.4047424093192005,32.75
111,57,8,1,7,16568.0,27780.0,6.439850037734902,2.5429114283193788,103.875
112,56,13,1,6,16284.0,21945.0,6.68051394086226,2.7449508654870507,24.0
113,55,11,1,6,14990.0,22238.0,6.91388422878869,2.0737580749768325,21.90909090909091
114,59,12,1,5,20035.0,29059.0,7.0427571444300625,2.2543206791289307,32.25
115,61,11,1,5,19593.5,29662.0,6.626214954292916,2.5826800537899324,55.0
116,52,12,1,5,14750.0,24043.0,7.153042931757937,2.003362349611906,43.333333333333336
117,57,15,1,3,14686.5,24121.0,6.742577171236748,2.120426019375371,38.93333333333333
118,51,12,0,5,0,6838.5,6.993456209691999,2.220469225319115,19.583333333333332
119,52,15,1,6,14773.0,24091.0,6.880820004041372,2.0679091843760897,18.333333333333332
120,58,15,2,3,14952.5,24081.0,6.357881778528986,2.104260279914022,36.06666666666667
121,59,18,1,5,15344.0,24496.0,6.27438995865702,2.437077329751349,31.444444444444443
122,58,17,1,3,13613.0,22135.0,6.276768857203006,2.1953008547092208,31.0
123,59,15,2,7,20715.0,29553.5,6.280083229684016,2.194590005522624,34.4
124,59,13,2,10,19720.5,29271.5,6.1210790540073665,2.0737388200751794,38.76923076923077
125,55,10,2,8,19289.5,28708.0,5.996842370324049,2.40873220157745,48.6
126,62,15,2,4,15292.5,24835.5,6.265765155301038,2.5034220603715314,44.46666666666667
127,61,14,2,5,18328.0,27133.0,6.378147219740675,2.7577563246967594,37.785714285714285
128,61,11,2,6,16484.5,26884.0,6.42368720167846,2.6232916083556925,40.63636363636363
129,59,13,2,7,17974.5,27015.5,6.223033824824256,2.5404705001722765,44.30769230769231
130,61,12,2,7,18839.0,27783.5,6.191355038646911,2.637517304389152,38.5
