epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7219,2.22701,2.78096,2.08332,0.98798,0,0.10686,0.45789,0.20568,0.08191,0.11378,0.46884,0.18958,0.05373,2.29839,4.62887,2.3184,0.94506,0,0.00055011,0.00055011,0.00055011
2,86.0072,2.01823,1.98702,1.29996,0.88886,0,0.55579,0.41331,0.39908,0.19228,0.4557,0.35309,0.30411,0.10358,1.99556,2.03022,1.38176,0.84092,0,0.00109483,0.00109483,0.00109483
3,124.598,1.99954,1.8635,1.22864,0.87809,0,0.39252,0.33837,0.27179,0.10723,0.48475,0.44832,0.39366,0.14849,2.41706,2.97378,1.44402,0.93291,0,0.00162855,0.00162855,0.00162855
4,164.198,1.90375,1.7184,1.1616,0.86584,0,0.59597,0.47519,0.47633,0.25308,0.5352,0.44442,0.41032,0.15643,1.82717,1.85638,1.07916,0.82085,0,0.00161749,0.00161749,0.00161749
5,203.719,1.88781,1.78373,1.13157,0.85574,0,0.5706,0.4474,0.45247,0.22872,0.48882,0.398,0.36145,0.12131,1.92801,2.94086,1.13668,0.82703,0,0.00160099,0.00160099,0.00160099
6,242.808,1.86633,1.596,1.10935,0.85663,0,0.62498,0.49218,0.5036,0.26071,0.51792,0.41121,0.37379,0.14501,1.82884,1.7196,1.05833,0.81373,0,0.00158448,0.00158448,0.00158448
7,282.057,1.75249,1.57342,1.05394,0.84601,0,0.62072,0.51405,0.51701,0.27652,0.49745,0.42995,0.36758,0.12355,1.7826,2.02496,1.04949,0.84592,0,0.00156798,0.00156798,0.00156798
8,321.546,1.75776,1.61307,1.05339,0.84848,0,0.58599,0.47923,0.48942,0.24609,0.51206,0.4424,0.39995,0.1352,1.90587,3.73534,1.05519,0.83688,0,0.00155148,0.00155148,0.00155148
9,361.287,1.73262,1.59299,1.02883,0.84403,0,0.61662,0.48548,0.49468,0.25957,0.55659,0.47525,0.43883,0.16615,1.8202,1.98902,1.0272,0.81375,0,0.00153497,0.00153497,0.00153497
10,401.049,1.70857,1.49669,1.00658,0.83992,0,0.64758,0.54636,0.5529,0.31771,0.53615,0.46165,0.42187,0.15673,1.65629,1.8626,0.94922,0.80148,0,0.00151847,0.00151847,0.00151847
11,439.752,1.69208,1.47569,0.99067,0.83638,0,0.63732,0.49285,0.51535,0.27189,0.52483,0.45376,0.41339,0.1471,1.80201,2.27286,1.01733,0.80854,0,0.00150197,0.00150197,0.00150197
12,479.215,1.65021,1.42801,0.96434,0.83258,0,0.6675,0.54351,0.56548,0.32586,0.54611,0.45479,0.42528,0.1551,1.65355,1.92247,0.92949,0.8078,0,0.00148546,0.00148546,0.00148546
13,519.056,1.67743,1.46254,0.97203,0.83337,0,0.63534,0.48215,0.50575,0.25816,0.56006,0.46389,0.43881,0.16451,1.85953,2.90814,0.99055,0.81781,0,0.00146896,0.00146896,0.00146896
14,558.363,1.65497,1.45267,0.95746,0.8318,0,0.67654,0.55899,0.58065,0.33457,0.55968,0.47067,0.44048,0.16972,1.61076,1.47871,0.90945,0.80598,0,0.00145246,0.00145246,0.00145246
15,597.323,1.62859,1.4127,0.9384,0.82443,0,0.66596,0.51033,0.54451,0.29868,0.59586,0.49232,0.48605,0.18325,1.71204,2.09617,0.91802,0.80575,0,0.00143595,0.00143595,0.00143595
16,636.107,1.6102,1.37358,0.92949,0.82582,0,0.66354,0.56246,0.57542,0.3401,0.55676,0.48052,0.44994,0.17428,1.58154,1.57711,0.88024,0.78943,0,0.00141945,0.00141945,0.00141945
17,675.293,1.5977,1.37032,0.92242,0.82678,0,0.67256,0.51979,0.55142,0.31601,0.56915,0.47395,0.45607,0.17239,1.64252,2.30039,0.91057,0.79489,0,0.00140295,0.00140295,0.00140295
